Date,Open,High,Low,Close,Volume
28/02/2025 16:00:00,236.95,242.09,230.2,241.84,56833360
03/03/2025 16:00:00,241.79,244.03,236.11,238.03,47183985
04/03/2025 16:00:00,237.71,240.07,234.68,235.93,53798062
05/03/2025 16:00:00,235.42,236.55,229.23,235.74,47227643
06/03/2025 16:00:00,234.44,237.86,233.16,235.33,45170419
07/03/2025 16:00:00,235.11,241.37,234.76,239.07,46273565
10/03/2025 16:00:00,235.54,236.16,224.22,227.48,72071197
11/03/2025 16:00:00,223.81,225.84,217.45,220.84,76137410
12/03/2025 16:00:00,220.14,221.75,214.91,216.98,62547467
13/03/2025 16:00:00,215.95,216.84,208.42,209.68,61368330
14/03/2025 16:00:00,211.25,213.95,209.58,213.49,60107582
17/03/2025 16:00:00,213.31,215.22,209.97,214,48073426
18/03/2025 16:00:00,214.16,215.15,211.49,212.69,42432426
19/03/2025 16:00:00,214.22,218.76,213.75,215.24,54385391
20/03/2025 16:00:00,213.99,217.49,212.22,214.1,48862947
21/03/2025 16:00:00,211.56,218.84,211.28,218.27,94127768
24/03/2025 16:00:00,221,221.48,218.58,220.73,44299483
25/03/2025 16:00:00,220.77,224.1,220.08,223.75,34493583
26/03/2025 16:00:00,223.51,225.02,220.47,221.53,34532656
27/03/2025 16:00:00,221.39,224.99,220.56,223.85,37094774
28/03/2025 16:00:00,221.67,223.81,217.68,217.9,39818617
31/03/2025 16:00:00,217.01,225.62,216.23,222.13,65299321
01/04/2025 16:00:00,219.81,223.68,218.9,223.19,36412740
02/04/2025 16:00:00,221.32,225.19,221.02,223.89,35905904
03/04/2025 16:00:00,205.54,207.49,201.25,203.19,103419006
04/04/2025 16:00:00,193.89,199.88,187.34,188.38,125910913
07/04/2025 16:00:00,177.2,194.15,174.62,181.46,160466286
08/04/2025 16:00:00,186.7,190.34,169.21,172.42,120859491
09/04/2025 16:00:00,171.95,200.61,171.89,198.85,184395885
10/04/2025 16:00:00,189.07,194.78,183,190.42,121879981
11/04/2025 16:00:00,186.1,199.54,186.06,198.15,87435915
14/04/2025 16:00:00,211.44,212.94,201.16,202.52,101352911
15/04/2025 16:00:00,201.86,203.51,199.8,202.14,51343872
16/04/2025 16:00:00,198.36,200.7,192.37,194.27,59732423
17/04/2025 16:00:00,197.2,198.83,194.42,196.98,52164675
21/04/2025 16:00:00,193.27,193.8,189.81,193.16,46742537
22/04/2025 16:00:00,196.12,201.59,195.97,199.74,52976371
23/04/2025 16:00:00,206,208,202.8,204.6,52929165
24/04/2025 16:00:00,204.89,208.83,202.94,208.37,47310989
25/04/2025 16:00:00,206.37,209.75,206.2,209.28,38222258
28/04/2025 16:00:00,210,211.5,207.46,210.14,38743074
29/04/2025 16:00:00,208.69,212.24,208.37,211.21,36827633
30/04/2025 16:00:00,209.3,213.58,206.67,212.5,52286454
01/05/2025 16:00:00,209.08,214.56,208.9,213.32,57365675
02/05/2025 16:00:00,206.09,206.99,202.16,205.35,101010621
05/05/2025 16:00:00,203.1,204.1,198.21,198.89,69018452
06/05/2025 16:00:00,198.21,200.65,197.02,198.51,51216482
07/05/2025 16:00:00,199.17,199.44,193.25,196.25,68616943
08/05/2025 16:00:00,197.72,200.05,194.68,197.49,50478872
09/05/2025 16:00:00,199,200.54,197.54,198.53,36453923
12/05/2025 16:00:00,210.97,211.27,206.75,210.79,63775814
13/05/2025 16:00:00,210.43,213.4,209,212.93,51909332
14/05/2025 16:00:00,212.43,213.94,210.58,212.33,49325825
15/05/2025 16:00:00,210.95,212.96,209.54,211.45,45029473
16/05/2025 16:00:00,212.36,212.57,209.77,211.26,54737850
19/05/2025 16:00:00,207.91,209.48,204.26,208.78,46140527
20/05/2025 16:00:00,207.67,208.47,205.03,206.86,42496635
21/05/2025 16:00:00,205.17,207.04,200.71,202.09,59211774
22/05/2025 16:00:00,205.17,207.04,200.71,202.09,1536434
23/05/2025 16:00:00,193.67,197.7,193.46,195.27,78432918
27/05/2025 16:00:00,198.3,200.74,197.43,200.21,56288475
28/05/2025 16:00:00,200.59,202.73,199.9,200.42,45339678
29/05/2025 16:00:00,203.58,203.81,198.51,199.95,51477938
30/05/2025 16:00:00,199.37,201.96,196.78,200.85,70819942
02/06/2025 16:00:00,200.28,202.13,200.12,201.7,35423294
03/06/2025 16:00:00,201.35,203.77,200.96,203.27,46381567
04/06/2025 16:00:00,202.91,206.24,202.1,202.82,43603985
05/06/2025 16:00:00,203.5,204.75,200.15,200.63,55221235
06/06/2025 16:00:00,203,205.7,202.05,203.92,46607693
09/06/2025 16:00:00,204.39,206,200.02,201.45,72862557
10/06/2025 16:00:00,200.6,204.35,200.57,202.67,54672608
11/06/2025 16:00:00,203.5,204.5,198.41,198.78,60989857
12/06/2025 16:00:00,199.08,199.68,197.36,199.2,43904635
13/06/2025 16:00:00,199.73,200.37,195.7,196.45,51447349
16/06/2025 16:00:00,197.3,198.69,196.56,198.42,43020691
17/06/2025 16:00:00,197.2,198.39,195.21,195.64,38856152
18/06/2025 16:00:00,195.94,197.57,195.07,196.58,45394689
20/06/2025 16:00:00,198.24,201.7,196.86,201,96813542
23/06/2025 16:00:00,201.63,202.3,198.96,201.5,55814272
24/06/2025 16:00:00,202.59,203.44,200.2,200.3,54064033
25/06/2025 16:00:00,201.45,203.67,200.62,201.56,39525730
26/06/2025 16:00:00,201.43,202.64,199.46,201,50799121
27/06/2025 16:00:00,201.89,203.22,200,201.08,73188571
30/06/2025 16:00:00,202.01,207.39,199.26,205.17,91912816
01/07/2025 16:00:00,206.67,210.19,206.14,207.82,78788867
02/07/2025 16:00:00,208.91,213.34,208.14,212.44,67941811
